llavehog,llaveviv,p2_8,folio,viv_sel,hogar,est_dis,upm_dis,fac_hog
1011,101,1,1,1,1,17,196,633
2101,210,1,2,10,1,179,2088,1811
3031,303,2,3,3,1,50,763,485
4011,401,1,4,1,1,17,182,739
5031,503,1,5,3,1,49,631,3756
6031,603,0,6,3,1,40,459,4568
7041,704,0,7,4,1,111,1380,3726
8031,803,2,8,3,1,135,1585,1797
9041,904,2,9,4,1,107,1297,3504
10041,1004,1,10,4,1,11,136,2692
11021,1102,1,11,2,1,127,1481,2049
12011,1201,1,12,1,1,57,834,19030
13031,1303,3,13,3,1,156,1831,1596
14081,1408,0,14,8,1,39,454,3356
15041,1504,2,15,4,1,97,1171,1518
16091,1609,2,16,9,1,77,970,8757
17041,1704,0,17,4,1,30,358,1424
18161,1816,0,18,16,1,70,933,2426
19041,1904,2,19,4,1,44,508,2710
20081,2008,1,20,8,1,160,1848,1343
21051,2105,1,21,5,1,87,1095,11960
22051,2205,2,22,5,1,59,861,5503
23181,2318,1,23,18,1,88,1108,4784
24131,2413,2,24,13,1,8,63,1922
25021,2502,0,25,2,1,50,735,2939
26011,2601,2,26,1,1,186,2143,1518
26012,2601,0,26,1,2,186,2143,1518
27011,2701,1,27,1,1,164,1953,2054
28051,2805,3,28,5,1,56,829,19751
29201,2920,1,29,20,1,153,1812,2385
30011,3001,0,30,1,1,50,736,2891
31021,3102,2,31,2,1,120,1419,6156
32091,3209,1,32,9,1,89,1113,3095
33161,3316,2,33,16,1,153,1811,2396
34031,3403,3,34,3,1,30,356,1435
35041,3504,1,35,4,1,151,1773,2173
36031,3603,0,36,3,1,127,1494,1700
37041,3704,1,37,4,1,11,137,2455
38041,3804,1,38,4,1,164,1958,1911
39031,3903,2,39,3,1,49,612,4271
40141,4014,1,40,14,1,63,888,2579
41021,4102,2,41,2,1,71,934,2679
42151,4215,3,42,15,1,116,1407,6595
43151,4315,1,43,15,1,43,482,3070
44051,4405,1,44,5,1,85,1027,15661
45111,4511,1,45,11,1,155,1821,1493
46041,4604,2,46,4,1,65,900,2939
47051,4705,2,47,5,1,169,1986,1167
48151,4815,1,48,15,1,63,887,2678
49011,4901,2,49,1,1,49,670,2177
50041,5004,2,50,4,1,132,1555,1256
51011,5101,0,51,1,1,70,931,3702
52051,5205,2,52,5,1,29,290,1734
53051,5305,1,53,5,1,98,1199,1137
54101,5410,0,54,10,1,186,2142,1673
55191,5519,0,55,19,1,105,1255,1919
56061,5606,1,56,6,1,167,1976,500
57041,5704,3,57,4,1,50,750,2094
58051,5805,1,58,5,1,11,134,2795
59091,5909,1,59,9,1,173,2043,4521
60041,6004,1,60,4,1,152,1801,2119
61031,6103,2,61,3,1,59,863,5357
62141,6214,1,62,14,1,62,879,3249
63161,6316,1,63,16,1,137,1597,1065
64031,6403,3,64,3,1,54,811,1294
65191,6519,2,65,19,1,51,765,1494
66141,6614,2,66,14,1,187,2146,1688
67051,6705,1,67,5,1,23,250,380
68041,6804,1,68,4,1,49,607,4573
69031,6903,1,69,3,1,100,1214,1363
70031,7003,2,70,3,1,5,39,1139
71031,7103,1,71,3,1,143,1683,811
72151,7215,3,72,15,1,186,2142,1673
73021,7302,0,73,2,1,11,139,2151
74021,7402,2,74,2,1,85,1044,11976
75011,7501,1,75,1,1,120,1427,4872
76151,7615,1,76,15,1,43,484,2372
77181,7718,0,77,18,1,37,443,3934
78031,7803,1,78,3,1,190,2171,1808
79121,7912,2,79,12,1,109,1374,2508
80091,8009,1,80,9,1,173,2040,4785
81111,8111,2,81,11,1,39,454,3356
82031,8203,3,82,3,1,10,96,3718
83011,8301,1,83,1,1,49,649,3262
84021,8402,2,84,2,1,50,682,3886
85201,8520,2,85,20,1,143,1678,2442
86041,8604,0,86,4,1,27,276,1431
87171,8717,1,87,17,1,105,1255,1919
88021,8802,2,88,2,1,49,622,4001
89041,8904,2,89,4,1,137,1599,1009
90011,9001,1,90,1,1,88,1109,4626
91111,9111,4,91,11,1,43,484,2372
