nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves
Llave de identificación de la persona elegida,10,C,llavemod,,0000101101...1330319102
Llave de identificación de la vivienda,7,C,llaveviv,,0000101...1330319
Llave de identificación del hogar,8,C,llavehog,,00001011...13303191
Edad verificada de la persona elegida,2,C,edad_v,edad_v,18...98
Pregunta P3.1.1 ¿Hasta qué año o grado aprobó usted en la escuela? - NIVEL,2,C,niv,niv,"00...11,99"
Pregunta P3.1.2 ¿Hasta qué año o grado aprobó usted en la escuela? - GRADO,1,C,gra,gra,0...9
"Pregunta P3.1A Por sus antepasados y de acuerdo con sus costumbres y tradiciones, ¿usted se considera afromexicana(o) negra(o) o afrodescendiente?",1,C,p3_1a,p3_1a,"1,2,9"
Pregunta P3.2 ¿Actualmente usted...?,1,C,p3_2,p3_2,1...6
Pregunta P3.3 ¿Usted habla alguna lengua indígena?,1,C,p3_3,p3_3,"1,2"
"Pregunta P3.4 ¿Usted recibe algún apoyo económico o programa de gobierno (personas adultas mayores, becas Benito Juárez, Jóvenes construyendo el futuro, entre otros)?",1,C,p3_4,p3_4,"1,2"
"Pregunta P3.5.1 Ahora le entregaré esta tarjeta para que me responda las siguientes preguntas (ENTREGUE LA TARJETA 1). Identifique su respuesta con un número del 1 al 4. En su vida diaria, ¿usted cuánta dificultad tiene para ver, aun usando lentes?",1,C,p3_5_1,p3_5_1,1...4
"Pregunta P3.5.2 Ahora le entregaré esta tarjeta para que me responda las siguientes preguntas (ENTREGUE LA TARJETA 1). Identifique su respuesta con un número del 1 al 4. En su vida diaria, ¿usted cuánta dificultad tiene para oír, aun usando aparato auditivo?",1,C,p3_5_2,p3_5_2,1...4
"Pregunta P3.5.3 Ahora le entregaré esta tarjeta para que me responda las siguientes preguntas (ENTREGUE LA TARJETA 1). Identifique su respuesta con un número del 1 al 4. En su vida diaria, ¿usted cuánta dificultad tiene para mover o usar sus brazos o manos?",1,C,p3_5_3,p3_5_3,1...4
"Pregunta P3.5.4 Ahora le entregaré esta tarjeta para que me responda las siguientes preguntas (ENTREGUE LA TARJETA 1). Identifique su respuesta con un número del 1 al 4. En su vida diaria, ¿usted cuánta dificultad tiene para caminar, subir o bajar usando sus piernas?",1,C,p3_5_4,p3_5_4,1...4
"Pregunta P3.5.5 Ahora le entregaré esta tarjeta para que me responda las siguientes preguntas (ENTREGUE LA TARJETA 1). Identifique su respuesta con un número del 1 al 4. En su vida diaria, ¿usted cuánta dificultad tiene para recordar o concentrarse?",1,C,p3_5_5,p3_5_5,1...4
"Pregunta P3.5.6 Ahora le entregaré esta tarjeta para que me responda las siguientes preguntas (ENTREGUE LA TARJETA 1). Identifique su respuesta con un número del 1 al 4. En su vida diaria, ¿usted cuánta dificultad tiene para bañarse, vestirse o comer?",1,C,p3_5_6,p3_5_6,1...4
"Pregunta P3.5.7 Ahora le entregaré esta tarjeta para que me responda las siguientes preguntas (ENTREGUE LA TARJETA 1). Identifique su respuesta con un número del 1 al 4. En su vida diaria, ¿usted cuánta dificultad tiene para hablar o comunicarse (por ejemplo, entender o ser entendido por otros)?",1,C,p3_5_7,p3_5_7,1...4
"Pregunta P3.5.8 Ahora le entregaré esta tarjeta para que me responda las siguientes preguntas (ENTREGUE LA TARJETA 1). Identifique su respuesta con un número del 1 al 4. En su vida diaria, ¿usted cuánta dificultad tiene para realizar sus actividades diarias por alguna condición emocional o mental (con autonomía e independencia)? Condición de salud como autismo, depresión, bipolaridad, esquizofrenia, etcétera",1,C,p3_5_8,p3_5_8,1...4
"Pregunta P3.6 Por sus costumbres y tradiciones, ¿usted se considera indígena?",1,C,p3_6,p3_6,"1,2,9"
Pregunta P3.7 ¿Se considera indígena principalmente...?,1,C,p3_7,p3_7,1...6
"Pregunta P3.8 Durante el mes pasado, ¿usted...?",1,C,p3_8,p3_8,1...9
"Pregunta P3.9 Aunque ya me dijo que (CONDICIÓN DE 3.8), ¿el mes pasado usted...?",1,C,p3_9,p3_9,1...7
"Pregunta P3.10 En su trabajo, actividad o negocio, ¿usted es...?",1,C,p3_10,p3_10,1...6
Pregunta P3.11A ¿Cuánto gana o recibe usted por trabajar (su actividad)?,5,C,p3_11a,p3_11a,"00000...90000,98000,99888"
Pregunta P3.11B ¿Cada cuándo?,1,C,p3_11b,p3_11b,1...4
